route_id,origin_city,destination_city,origin_country,destination_country,origin_port,destination_port,distance_km,average_transit_days,route_risk,traffic_index
67f77ec5-818d-4a2e-81a7-71b867743730,Osaka,Yokohama,Japan,Japan,Port of Yokohama,Port of Osaka,2057.66,6,Low,21
0b809a4c-302d-49bd-8a7d-b8c9836bf4df,Rotterdam,Shenzhen,Netherlands,China,Port of Rotterdam,Shenzhen Port,4002.45,9,Medium,65
512ad239-a60e-433e-8fdf-0960e7523609,London,Tokyo,United Kingdom,Japan,Port of Felixstowe,Port of Osaka,641.83,6,Medium,44
93b2f282-71cf-43c1-80bc-1d659af74540,Seoul,Shanghai,South Korea,China,Incheon Port,Shanghai Port,9253.06,23,Low,40
44ef17ef-bb81-4664-b2f7-76ba54ec9ba6,Dubai,Hamburg,UAE,Germany,Khalifa Port,Port of Hamburg,3118.68,8,Low,43
a7f02cad-6990-4457-962f-615792973e52,Amsterdam,Frankfurt,Netherlands,Germany,Port of Rotterdam,Port of Hamburg,5330.37,8,Low,39
75ad65d7-c0c7-45a9-be55-bc2cdb2f0b61,Yokohama,Sharjah,Japan,UAE,Port of Yokohama,Jebel Ali,10721.5,19,Low,15
2b76577f-045f-48d3-b5d0-7e4d4148e38d,Chicago,Busan,United States,South Korea,Port Newark,Port of Busan,1232.79,6,Low,24
13f94beb-782d-4021-961a-a248f617c212,Manchester,London,United Kingdom,United Kingdom,Port of Felixstowe,London Gateway,1975.83,8,High,77
6081a1d6-7ae3-4d44-9ea6-c717517cf4ab,Abu Dhabi,Osaka,UAE,Japan,Jebel Ali,Port of Osaka,4893.33,12,Medium,55
a4b202be-5e45-44b1-819d-7f2abf475eff,Felixstowe,Amsterdam,United Kingdom,Netherlands,Port of Felixstowe,Port of Rotterdam,10365.16,24,Low,42
0fef2ca2-bd04-4f68-9bcc-40238eabc0a0,Frankfurt,Osaka,Germany,Japan,Bremerhaven,Port of Osaka,8743.95,12,Low,20
c04a84d9-934d-4459-8edd-93ffd2ec005f,Shanghai,Singapore,China,Singapore,Shenzhen Port,Port of Singapore,8485.99,13,Medium,44
28bf753b-5190-4a1e-998b-cf3ca5e64bfe,Felixstowe,Singapore,United Kingdom,Singapore,London Gateway,Port of Singapore,1348.71,3,High,66
cfa96287-a054-4077-8cee-8964787bbae8,Amsterdam,Seoul,Netherlands,South Korea,Port of Rotterdam,Incheon Port,12490.87,21,Medium,59
708bf42b-9714-4d21-8206-558ce0424d4c,Rotterdam,Chicago,Netherlands,United States,Port of Rotterdam,Port of LA,7135.12,12,Medium,53
318d93db-0a9a-42b4-a7ce-aebbe9f77b7d,Tokyo,Seoul,Japan,South Korea,Port of Osaka,Port of Busan,7597.0,15,Low,40
c657aa77-1ca9-4a88-a070-3de0a98525b3,Busan,Dubai,South Korea,UAE,Port of Busan,Jebel Ali,3153.78,9,Medium,48
62c824af-1e9d-4179-8f4f-50105da85799,New York,Hyderabad,United States,India,Port Houston,Nhava Sheva,5047.94,12,Low,29
177d861b-762b-4a03-91cd-53e1d8a4e603,Dubai,Osaka,UAE,Japan,Khalifa Port,Port of Osaka,4431.01,10,Medium,48
ffdd3f77-e92d-4fc7-a615-e0c680d4282b,Delhi,Manchester,India,United Kingdom,Chennai Port,London Gateway,9558.28,15,Low,22
e53bf927-d6bd-4af4-bf9c-f4cb667092d1,Chennai,Abu Dhabi,India,UAE,Mundra Port,Jebel Ali,952.78,3,Medium,44
58d0931d-3c67-4665-8a35-db06fa3aa6a8,Singapore,Tokyo,Singapore,Japan,Port of Singapore,Port of Yokohama,10918.05,26,Medium,62
a8772643-aed8-4a93-9f39-b2c0d63b4ae7,New York,Busan,United States,South Korea,Port Newark,Port of Busan,4173.47,9,Medium,38
d05de934-5a5a-4ae1-8f46-c77ce852ecc1,Sharjah,Abu Dhabi,UAE,UAE,Jebel Ali,Khalifa Port,823.09,2,Medium,67
ae87c739-d482-4d2e-bc30-76adacf70748,Amsterdam,Bremen,Netherlands,Germany,Port of Rotterdam,Port of Hamburg,5692.11,10,Low,41
300be267-c96d-4a27-9942-70ed2a6cb561,Guangzhou,Rotterdam,China,Netherlands,Ningbo-Zhoushan,Port of Rotterdam,6246.58,11,High,69
34852b51-014e-4096-90db-d750eef59e09,Rotterdam,Ningbo,Netherlands,China,Port of Rotterdam,Shanghai Port,2855.28,5,Critical,86
9052da00-5c61-418f-a8f4-3defcf0af3a6,Rotterdam,Singapore,Netherlands,Singapore,Port of Rotterdam,Port of Singapore,3624.75,7,Low,40
9e65d442-ead4-46c4-bdf8-42dcf63d605b,Bremen,Shanghai,Germany,China,Port of Hamburg,Shanghai Port,3261.32,10,Medium,42
3ed6d77c-386a-446e-bd5b-6cc9f6a24e02,Houston,London,United States,United Kingdom,Port Newark,Port of Felixstowe,9885.16,16,High,68
ac6d0674-5bde-4385-85f7-26d3cf2d5b2c,New York,Ningbo,United States,China,Port Houston,Shenzhen Port,1417.22,3,Low,25
e2abece2-270c-4af6-9c60-cbf80a7741cf,Incheon,Bremen,South Korea,Germany,Incheon Port,Bremerhaven,936.94,2,Low,40
fd25363d-b278-468b-8215-da4f9355ab5e,Singapore,Seoul,Singapore,South Korea,Port of Singapore,Port of Busan,11231.09,20,Low,32
aaf38868-8a1f-4f6b-80f8-f9d39ed21481,Guangzhou,Seoul,China,South Korea,Shanghai Port,Port of Busan,7803.71,14,Medium,46
94a2ab68-5e98-4df9-88b3-71378b7532f5,Shenzhen,Singapore,China,Singapore,Shenzhen Port,Port of Singapore,6284.51,13,Medium,54
f666f15e-533b-46fa-8ce6-91700ce170ce,Singapore,Frankfurt,Singapore,Germany,Port of Singapore,Port of Hamburg,7083.34,17,High,63
cb8bb6d9-f39b-4088-bfb6-d2677f59bf98,Sharjah,Singapore,UAE,Singapore,Khalifa Port,Port of Singapore,4394.3,10,Medium,38
48d9f345-69fa-4e15-b565-67e5f11c7817,Houston,Singapore,United States,Singapore,Port of LA,Port of Singapore,3106.59,7,Low,36
36339d01-5204-49d1-8649-4d5a16201973,Singapore,London,Singapore,United Kingdom,Port of Singapore,Port of Felixstowe,1119.25,3,Medium,36
e53d64c1-95d2-414c-a5f2-4349ab14ca3b,Seoul,Frankfurt,South Korea,Germany,Incheon Port,Bremerhaven,1942.53,3,Low,45
5cadca57-2f23-479b-8b6a-3a22da0c700d,Kolkata,Busan,India,South Korea,Mundra Port,Port of Busan,8733.38,13,Low,19
891c9ec7-11d8-4fd8-ba6b-875fda148f9c,Frankfurt,Felixstowe,Germany,United Kingdom,Bremerhaven,London Gateway,6914.71,19,Medium,54
e92b72bd-c149-46b9-a605-a1801bae549f,New York,Tokyo,United States,Japan,Port Houston,Port of Yokohama,7490.91,13,High,76
86bc49c8-1c5a-411e-8668-3d7db6f92820,Amsterdam,Busan,Netherlands,South Korea,Port of Rotterdam,Port of Busan,307.61,3,Medium,62
70373ef0-8150-49b6-a20f-595c226178da,Yokohama,Seoul,Japan,South Korea,Port of Yokohama,Port of Busan,4930.08,13,Low,41
8551b99f-2a54-4c12-9c29-6b3c2e36832b,Chennai,Hyderabad,India,India,Chennai Port,Kolkata Port,789.43,4,Low,35
513761d9-8985-4c71-8f4a-11e9a24e0591,Amsterdam,Yokohama,Netherlands,Japan,Port of Rotterdam,Port of Yokohama,855.83,5,Medium,53
14245022-6805-4e12-be0f-d7fc5a475e05,Amsterdam,Frankfurt,Netherlands,Germany,Port of Rotterdam,Port of Hamburg,3832.12,9,Low,27
87776f8a-23f0-46bd-a59c-5afb2f160f06,Los Angeles,Osaka,United States,Japan,Port Houston,Port of Osaka,3949.79,7,Medium,36
d3698067-74be-4e95-a569-c4a421aa6610,Kolkata,Rotterdam,India,Netherlands,Chennai Port,Port of Rotterdam,1043.0,4,Critical,100
4a985c79-af07-40c7-bff8-3f20208a5a52,Felixstowe,Busan,United Kingdom,South Korea,Port of Felixstowe,Incheon Port,6188.86,14,Low,18
72957b58-99d0-4875-96c1-fde96bbdafe3,Sharjah,Mumbai,UAE,India,Jebel Ali,Mundra Port,4635.69,10,Low,22
1eca37d8-915a-4582-9a7d-857ca3c6b408,Singapore,Felixstowe,Singapore,United Kingdom,Port of Singapore,Port of Felixstowe,1782.0,5,Low,24
be4590e1-3138-4e8d-b5b9-cb99392f6eaa,Osaka,Singapore,Japan,Singapore,Port of Osaka,Port of Singapore,10183.77,14,Low,35
e3c1d3dd-c655-4db0-9a2a-ebeea77ffc56,Ningbo,Felixstowe,China,United Kingdom,Shenzhen Port,London Gateway,3362.0,8,Medium,46
751e8787-5a61-429f-8f7c-dcd7e8c1e4f2,Houston,Chicago,United States,United States,Port of LA,Port of LA,609.82,6,Low,26
9d6096f5-d8d6-4149-b466-b4c52a701d01,Incheon,Busan,South Korea,South Korea,Port of Busan,Incheon Port,929.61,5,Low,15
794f5eaf-3a11-4bbe-8519-ee070a350597,Chennai,Singapore,India,Singapore,Mundra Port,Port of Singapore,6139.12,14,Medium,43
0112ec0e-87c7-4984-aa9f-8ef6efe54509,London,Abu Dhabi,United Kingdom,UAE,Port of Felixstowe,Khalifa Port,8762.71,16,Medium,39
ffdb8952-74bc-4548-bace-e39b2d5ad459,Busan,Bengaluru,South Korea,India,Port of Busan,Mundra Port,5633.28,10,Low,43
aece1c36-056d-42fe-8582-915fa27f1751,Rotterdam,Chicago,Netherlands,United States,Port of Rotterdam,Port of LA,5303.97,12,Low,17
5da927b0-db6c-47f9-9a48-135a6975b702,Osaka,London,Japan,United Kingdom,Port of Osaka,London Gateway,4675.82,7,Low,35
088f566e-5b69-45ca-afcd-eea4409da1b5,Yokohama,Amsterdam,Japan,Netherlands,Port of Yokohama,Port of Rotterdam,12290.32,25,Low,42
bce9126f-e49d-49c0-a5eb-4557a2a2f58e,Bengaluru,Manchester,India,United Kingdom,Mundra Port,Port of Felixstowe,2285.19,5,Medium,42
6220435d-293d-4503-a81d-a5b91728536d,Felixstowe,Chicago,United Kingdom,United States,London Gateway,Port Newark,11696.23,24,Medium,63
8f02aa3e-21d7-4226-a6a4-0f4fa6b122b8,London,Rotterdam,United Kingdom,Netherlands,Port of Felixstowe,Port of Rotterdam,8400.11,21,Medium,57
a8f41b42-79b6-4d4c-bc7b-287fd23670c8,Los Angeles,Felixstowe,United States,United Kingdom,Port Newark,Port of Felixstowe,2215.98,4,Medium,60
0406a116-4c7d-44c4-9849-266fcf567558,Felixstowe,Singapore,United Kingdom,Singapore,London Gateway,Port of Singapore,4470.48,9,Low,21
1c54f111-a16c-4e6b-81c2-173c7c6b4e9d,Amsterdam,Los Angeles,Netherlands,United States,Port of Rotterdam,Port Houston,889.63,3,Medium,51
5aee1535-3970-485c-ae9d-a574c69a592b,Busan,Frankfurt,South Korea,Germany,Incheon Port,Port of Hamburg,4290.88,7,Medium,57
ddb72827-3fd5-48a7-8928-eadb815ea291,Houston,Abu Dhabi,United States,UAE,Port Houston,Khalifa Port,11597.37,19,High,73
aff900ab-630d-4b5c-bdad-b26861d915fa,Singapore,Bremen,Singapore,Germany,Port of Singapore,Bremerhaven,10489.08,17,Low,23
0a9fbaf3-cb41-4147-a743-ff3a0f8cac88,Singapore,Manchester,Singapore,United Kingdom,Port of Singapore,London Gateway,4042.29,8,Low,23
dbe2c87e-07b0-4414-a504-ba665696635d,Incheon,Los Angeles,South Korea,United States,Port of Busan,Port Houston,8693.35,15,Low,44
413a54cd-1fc9-4e47-a7c7-8d639d1a48ec,Shanghai,Frankfurt,China,Germany,Ningbo-Zhoushan,Bremerhaven,5877.73,8,Low,17
22c83957-4043-4dd0-bc0c-26c8151fe1ae,Seoul,Bremen,South Korea,Germany,Port of Busan,Bremerhaven,10048.69,23,Low,35
d2e3e61b-f2d8-4935-b15a-5548fcaf537e,Houston,Yokohama,United States,Japan,Port of LA,Port of Osaka,10214.36,21,Medium,63
3e33da08-79f5-41f5-b154-5bcba7ee1bdf,Hyderabad,Singapore,India,Singapore,Mundra Port,Port of Singapore,577.46,5,Low,22
e0a84e14-2ccc-4a79-9e7b-1d262b2f8ced,Bremen,Shenzhen,Germany,China,Bremerhaven,Ningbo-Zhoushan,826.86,6,Low,26
3b926c59-6280-4d43-bc74-e327a09a650c,New York,Incheon,United States,South Korea,Port of LA,Incheon Port,928.79,3,High,70
193728d1-1f78-4fa1-b8de-3d94e598ea90,London,Singapore,United Kingdom,Singapore,Port of Felixstowe,Port of Singapore,6477.18,15,Medium,61
4e14b8b5-1004-43ae-9252-d1c95b327659,Shenzhen,London,China,United Kingdom,Ningbo-Zhoushan,London Gateway,2548.76,4,Medium,68
d646d531-0dee-442c-98e6-0f8ab706275a,Abu Dhabi,Hamburg,UAE,Germany,Jebel Ali,Bremerhaven,10191.6,15,Medium,67
45d05625-6c04-4dd9-b5f6-68f5b8f53e1a,Rotterdam,Houston,Netherlands,United States,Port of Rotterdam,Port of LA,8076.15,16,Low,23
2129a77d-3c53-4b8a-8626-cb9caa764d9e,Felixstowe,Singapore,United Kingdom,Singapore,Port of Felixstowe,Port of Singapore,2347.44,4,Critical,98
5119c9ef-ac20-4676-b5b7-db4db73e1524,Abu Dhabi,Bremen,UAE,Germany,Jebel Ali,Bremerhaven,10258.47,19,Low,32
39fa2ad3-38d2-45b9-a55e-6c04765d9d58,Frankfurt,Singapore,Germany,Singapore,Bremerhaven,Port of Singapore,1349.68,6,Low,30
02263d06-19b2-451e-88f5-f8783c78861b,Amsterdam,Rotterdam,Netherlands,Netherlands,Port of Rotterdam,Port of Rotterdam,1497.84,4,Medium,35
13d040cc-dda7-4bb0-8e92-0d0505560ed0,Felixstowe,Abu Dhabi,United Kingdom,UAE,London Gateway,Khalifa Port,4135.89,6,High,80
8cb7a55c-0673-455e-84dd-e1f22ec30d4b,Yokohama,Rotterdam,Japan,Netherlands,Port of Yokohama,Port of Rotterdam,3216.08,5,Medium,63
8d0db1ad-df44-499e-ad93-d194e7bdcc81,Tokyo,Felixstowe,Japan,United Kingdom,Port of Osaka,Port of Felixstowe,638.26,5,Medium,56
24e63764-d0c8-4504-be05-b6fdad1b03d2,Sharjah,Singapore,UAE,Singapore,Khalifa Port,Port of Singapore,11711.58,19,Low,29
077bbfb2-51b1-4b20-8329-3b70e730e952,Felixstowe,Hamburg,United Kingdom,Germany,London Gateway,Port of Hamburg,3645.01,9,Low,44
4a353ddf-9a51-4eda-9abd-bf0f28ead5e5,Yokohama,Chennai,Japan,India,Port of Yokohama,Nhava Sheva,5815.18,10,Low,20
c6c8c3dc-8906-4159-b056-b4c28e052305,Abu Dhabi,Los Angeles,UAE,United States,Jebel Ali,Port Newark,10108.06,23,High,67
fad9a65d-7df2-4626-bc64-ca20c9a43ffb,Chennai,Frankfurt,India,Germany,Kolkata Port,Port of Hamburg,7002.45,12,Medium,60
1ae03496-397d-4e62-840b-9944df8d6a9e,Houston,Felixstowe,United States,United Kingdom,Port Houston,London Gateway,11202.42,19,Low,18
a5cdffe2-3e56-4a79-902d-e6687ff43718,Guangzhou,Felixstowe,China,United Kingdom,Shenzhen Port,London Gateway,9201.85,14,High,77
67e32015-fec0-42f2-a8c2-9cd5ba0cb67e,Abu Dhabi,Osaka,UAE,Japan,Jebel Ali,Port of Yokohama,6418.0,10,Medium,47
52280225-25c2-42dd-802c-3bda9c69621f,Singapore,London,Singapore,United Kingdom,Port of Singapore,London Gateway,9857.58,18,Medium,43
8c8b97ed-f840-4f0a-be3c-aeb6b3c88e56,Bremen,London,Germany,United Kingdom,Port of Hamburg,Port of Felixstowe,1761.28,3,High,79
65c8626d-bac4-4764-96e5-6ee6ac4b7a51,Tokyo,Shenzhen,Japan,China,Port of Osaka,Ningbo-Zhoushan,2127.21,7,Low,18
3ea5e00f-f26e-4e25-8e2a-5143a92f6b93,Rotterdam,Yokohama,Netherlands,Japan,Port of Rotterdam,Port of Osaka,7553.21,13,Low,42
7e74a09d-931a-42f6-bcdd-06a2ffc87d5f,Frankfurt,Manchester,Germany,United Kingdom,Bremerhaven,London Gateway,10749.78,25,High,83
f24031e3-51a7-4989-ae9d-39cb92d4369f,Abu Dhabi,Felixstowe,UAE,United Kingdom,Khalifa Port,London Gateway,9090.77,15,Low,34
2bb0737d-2fc0-4e8f-9b5c-f4d3cbd59284,Seoul,Houston,South Korea,United States,Incheon Port,Port Newark,6131.8,12,Medium,36
b6752078-901f-41a7-afb8-2b13ebb0c9b4,Singapore,Dubai,Singapore,UAE,Port of Singapore,Khalifa Port,10907.33,26,Low,38
97b4d5bd-61d7-4945-afa4-17df7c5581a2,Yokohama,Mumbai,Japan,India,Port of Osaka,Mundra Port,562.93,1,Medium,41
a754d4f6-e155-4dcc-88b8-399de18d337f,Bremen,Abu Dhabi,Germany,UAE,Bremerhaven,Jebel Ali,7603.29,14,Low,42
962b512a-aa6e-4ccc-8d95-43c5cfcbc3a1,Felixstowe,Singapore,United Kingdom,Singapore,London Gateway,Port of Singapore,5507.1,13,Medium,45
3d07b69c-f0d3-4716-919c-b460488a370b,Delhi,Incheon,India,South Korea,Kolkata Port,Incheon Port,8130.37,17,High,71
5ff78c1d-d3b3-4ecb-9a42-7bd9aa61b62f,Delhi,Abu Dhabi,India,UAE,Nhava Sheva,Khalifa Port,10477.03,21,Low,38
b33da70f-7882-4f49-b35d-2fa9a3cee6f7,Shanghai,Hamburg,China,Germany,Shanghai Port,Port of Hamburg,4228.71,9,Low,19
6956e972-d50c-4be5-9d6f-371760d344a0,Chicago,Dubai,United States,UAE,Port Newark,Khalifa Port,10523.32,26,Medium,52
257f78c6-9ae0-4774-b25a-4d4ffc067424,Chennai,London,India,United Kingdom,Mundra Port,Port of Felixstowe,7274.7,17,High,72
f5e907e2-ce0e-4e3c-9ffd-50a9afc7b9d2,London,Frankfurt,United Kingdom,Germany,London Gateway,Bremerhaven,10182.01,18,Low,18
98670b1a-7ea0-4388-adb1-028a1a99ae7c,Shanghai,Singapore,China,Singapore,Shanghai Port,Port of Singapore,2793.57,8,Medium,51
e1058e44-4b77-435b-91ef-d1dd182baa75,Los Angeles,Dubai,United States,UAE,Port Newark,Jebel Ali,5407.33,11,Critical,89
e493d3fb-07df-4b43-8ba2-cb282d7c58bf,Shenzhen,New York,China,United States,Shanghai Port,Port of LA,8367.27,20,Medium,57
cb2e438d-f5f6-4539-81b1-7b60dea424dd,Manchester,Felixstowe,United Kingdom,United Kingdom,London Gateway,Port of Felixstowe,1791.47,7,Low,19
9b07dcbb-24cc-4694-8f74-c6e141a11031,Abu Dhabi,Rotterdam,UAE,Netherlands,Jebel Ali,Port of Rotterdam,12116.77,18,Low,39
42484b39-ec47-4ffc-b3e5-f240ad16fe85,Bremen,Busan,Germany,South Korea,Port of Hamburg,Incheon Port,342.87,3,Medium,61
703bfa45-7e4f-4edc-85d4-f87721796fe7,Kolkata,Delhi,India,India,Mundra Port,Mundra Port,2240.64,5,Low,19
717ca7d5-1d63-4521-bcae-67791dcb927d,Bengaluru,Rotterdam,India,Netherlands,Kolkata Port,Port of Rotterdam,4516.2,12,Medium,61
7cbdb9b9-0e70-47a7-b7ee-5d5194261694,Los Angeles,Seoul,United States,South Korea,Port of LA,Incheon Port,9695.04,15,Medium,50
78eecace-479c-4f36-9b52-c006487945cf,London,Dubai,United Kingdom,UAE,Port of Felixstowe,Jebel Ali,9689.23,12,Low,29
f94c7746-1181-445c-8dde-52cecf47db91,New York,Sharjah,United States,UAE,Port of LA,Jebel Ali,8850.38,17,Medium,43
fa8d33cc-64aa-48b3-a2cc-3a1270be4977,Shenzhen,Shanghai,China,China,Shanghai Port,Shanghai Port,1865.5,8,Medium,68
2f41009d-dd96-4570-a5c1-b4908eca9b1f,Busan,Hamburg,South Korea,Germany,Incheon Port,Bremerhaven,6161.32,13,High,70
7ccd0eab-ef77-4e7a-a34f-b0d933ec88ea,Felixstowe,Hamburg,United Kingdom,Germany,Port of Felixstowe,Port of Hamburg,639.71,4,Low,21
91926ef8-d5dd-440c-83ba-d5189d3421b4,Yokohama,Busan,Japan,South Korea,Port of Osaka,Incheon Port,5889.48,8,Critical,86
