Order_ID,Customer_Name,Product_Category,Quantity,Order_Date,Source_Warehouse,Destination_City,Priority,Order_Status
ORD0016,Reliance Retail Ltd.,Consumer Goods,203,16-Apr-2026,Ahmedabad Central Warehouse,Pune,Medium,Delivered
ORD0017,Tata Electronics Pvt. Ltd.,Home Appliances,155,17-Apr-2026,Surat Distribution Center,Ahmedabad,Medium,Delivered
ORD0018,Apollo Pharmacy,Clothing,294,18-Apr-2026,Vadodara Fulfillment Hub,Surat,High,Delivered
ORD0019,DMart Distribution,Paints,60,19-Apr-2026,Mumbai Regional Hub,Indore,Medium,Delivered
ORD0020,Amazon Seller Services,Electrical Goods,444,20-Apr-2026,Pune Logistics Center,Udaipur,Medium,Delivered
ORD0021,Flipkart Seller Hub,Food Products,473,21-Apr-2026,Ahmedabad Central Warehouse,Pune,High,Delivered
ORD0022,Croma Retail,FMCG,118,22-Apr-2026,Surat Distribution Center,Bhopal,Medium,Delivered
ORD0023,Aditya Birla Fashion,Eyewear,43,23-Apr-2026,Vadodara Fulfillment Hub,Udaipur,Medium,Delivered
ORD0024,Zydus Healthcare,Cosmetics,415,24-Apr-2026,Mumbai Regional Hub,Mumbai,High,Delivered
ORD0025,Asian Paints Ltd.,Electronics,457,25-Apr-2026,Pune Logistics Center,Rajkot,Medium,Delivered
ORD0026,Havells India Ltd.,Medicines,214,26-Apr-2026,Ahmedabad Central Warehouse,Mumbai,Medium,Delivered
ORD0027,Nestle India Ltd.,Grocery,345,27-Apr-2026,Surat Distribution Center,Pune,High,Delivered
ORD0028,Dabur India Ltd.,Consumer Goods,209,28-Apr-2026,Vadodara Fulfillment Hub,Pune,Medium,Delivered
ORD0029,Lenskart,Home Appliances,363,29-Apr-2026,Mumbai Regional Hub,Mumbai,Medium,Delivered
ORD0030,Nykaa Retail,Clothing,331,30-Apr-2026,Pune Logistics Center,Udaipur,High,Delivered
ORD0031,Reliance Retail Ltd.,Paints,293,01-May-2026,Ahmedabad Central Warehouse,Bhopal,Medium,Delivered
ORD0032,Tata Electronics Pvt. Ltd.,Electrical Goods,103,02-May-2026,Surat Distribution Center,Nagpur,Medium,Delivered
ORD0033,Apollo Pharmacy,Food Products,158,03-May-2026,Vadodara Fulfillment Hub,Udaipur,High,Delivered
ORD0034,DMart Distribution,FMCG,132,04-May-2026,Mumbai Regional Hub,Udaipur,Medium,Delivered
ORD0035,Amazon Seller Services,Eyewear,451,05-May-2026,Pune Logistics Center,Ahmedabad,Medium,Delivered
ORD0036,Flipkart Seller Hub,Cosmetics,440,06-May-2026,Ahmedabad Central Warehouse,Ahmedabad,High,Delivered
ORD0037,Croma Retail,Electronics,225,07-May-2026,Surat Distribution Center,Mumbai,Medium,Delivered
ORD0038,Aditya Birla Fashion,Medicines,128,08-May-2026,Vadodara Fulfillment Hub,Jaipur,Medium,Delivered
ORD0039,Zydus Healthcare,Grocery,128,09-May-2026,Mumbai Regional Hub,Udaipur,High,Delivered
ORD0040,Asian Paints Ltd.,Consumer Goods,222,10-May-2026,Pune Logistics Center,Udaipur,Medium,Delivered
ORD0041,Havells India Ltd.,Home Appliances,93,11-May-2026,Ahmedabad Central Warehouse,Mumbai,Medium,Delivered
ORD0042,Nestle India Ltd.,Clothing,146,12-May-2026,Surat Distribution Center,Bhopal,High,Delivered
ORD0043,Dabur India Ltd.,Paints,295,13-May-2026,Vadodara Fulfillment Hub,Mumbai,Medium,Delivered
ORD0044,Lenskart,Electrical Goods,239,14-May-2026,Mumbai Regional Hub,Jaipur,Medium,Delivered
ORD0045,Nykaa Retail,Food Products,205,15-May-2026,Pune Logistics Center,Rajkot,High,Delivered
ORD0046,Reliance Retail Ltd.,FMCG,280,16-May-2026,Ahmedabad Central Warehouse,Nagpur,Medium,Delivered
ORD0047,Tata Electronics Pvt. Ltd.,Eyewear,406,17-May-2026,Surat Distribution Center,Ahmedabad,Medium,Delivered
ORD0048,Apollo Pharmacy,Cosmetics,98,18-May-2026,Vadodara Fulfillment Hub,Udaipur,High,Delivered
ORD0049,DMart Distribution,Electronics,425,19-May-2026,Mumbai Regional Hub,Udaipur,Medium,Delivered
ORD0050,Amazon Seller Services,Medicines,325,20-May-2026,Pune Logistics Center,Surat,Medium,Delivered
ORD0051,Flipkart Seller Hub,Grocery,215,21-May-2026,Ahmedabad Central Warehouse,Jaipur,High,Delivered
ORD0052,Croma Retail,Consumer Goods,290,22-May-2026,Surat Distribution Center,Mumbai,Medium,Delivered
ORD0053,Aditya Birla Fashion,Home Appliances,460,23-May-2026,Vadodara Fulfillment Hub,Ahmedabad,Medium,Delivered
ORD0054,Zydus Healthcare,Clothing,369,24-May-2026,Mumbai Regional Hub,Indore,High,Delivered
ORD0055,Asian Paints Ltd.,Paints,413,25-May-2026,Pune Logistics Center,Udaipur,Medium,Delivered
ORD0056,Havells India Ltd.,Electrical Goods,77,26-May-2026,Ahmedabad Central Warehouse,Mumbai,Medium,Delivered
ORD0057,Nestle India Ltd.,Food Products,100,27-May-2026,Surat Distribution Center,Nagpur,High,Delivered
ORD0058,Dabur India Ltd.,FMCG,389,28-May-2026,Vadodara Fulfillment Hub,Bhopal,Medium,Delivered
ORD0059,Lenskart,Eyewear,276,29-May-2026,Mumbai Regional Hub,Vadodara,Medium,Delivered
ORD0060,Nykaa Retail,Cosmetics,487,30-May-2026,Pune Logistics Center,Surat,High,Delivered
ORD0061,Reliance Retail Ltd.,Electronics,450,31-May-2026,Ahmedabad Central Warehouse,Udaipur,Medium,Delivered
ORD0062,Tata Electronics Pvt. Ltd.,Medicines,331,01-Jun-2026,Surat Distribution Center,Rajkot,Medium,Delivered
ORD0063,Apollo Pharmacy,Grocery,211,02-Jun-2026,Vadodara Fulfillment Hub,Vadodara,High,Delivered
ORD0064,DMart Distribution,Consumer Goods,418,03-Jun-2026,Mumbai Regional Hub,Indore,Medium,Delivered
ORD0065,Amazon Seller Services,Home Appliances,326,04-Jun-2026,Pune Logistics Center,Pune,Medium,Delivered
ORD0066,Flipkart Seller Hub,Clothing,29,05-Jun-2026,Ahmedabad Central Warehouse,Surat,High,Delivered
ORD0067,Croma Retail,Paints,469,06-Jun-2026,Surat Distribution Center,Mumbai,Medium,Delivered
ORD0068,Aditya Birla Fashion,Electrical Goods,49,07-Jun-2026,Vadodara Fulfillment Hub,Rajkot,Medium,Delivered
ORD0069,Zydus Healthcare,Food Products,60,08-Jun-2026,Mumbai Regional Hub,Surat,High,Delivered
ORD0070,Asian Paints Ltd.,FMCG,437,09-Jun-2026,Pune Logistics Center,Surat,Medium,Delivered
ORD0071,Havells India Ltd.,Eyewear,412,10-Jun-2026,Ahmedabad Central Warehouse,Vadodara,Medium,Delivered
ORD0072,Nestle India Ltd.,Cosmetics,357,11-Jun-2026,Surat Distribution Center,Nagpur,High,Delivered
ORD0073,Dabur India Ltd.,Electronics,104,12-Jun-2026,Vadodara Fulfillment Hub,Mumbai,Medium,Delivered
ORD0074,Lenskart,Medicines,466,13-Jun-2026,Mumbai Regional Hub,Jaipur,Medium,Delivered
ORD0075,Nykaa Retail,Grocery,128,14-Jun-2026,Pune Logistics Center,Indore,High,Delivered
ORD0076,Reliance Retail Ltd.,Consumer Goods,385,15-Jun-2026,Ahmedabad Central Warehouse,Mumbai,Medium,Delivered
ORD0077,Tata Electronics Pvt. Ltd.,Home Appliances,363,16-Jun-2026,Surat Distribution Center,Udaipur,Medium,Delivered
ORD0078,Apollo Pharmacy,Clothing,244,17-Jun-2026,Vadodara Fulfillment Hub,Indore,High,Delivered
ORD0079,DMart Distribution,Paints,81,18-Jun-2026,Mumbai Regional Hub,Rajkot,Medium,Delivered
ORD0080,Amazon Seller Services,Electrical Goods,52,19-Jun-2026,Pune Logistics Center,Pune,Medium,Delivered
ORD0081,Flipkart Seller Hub,Food Products,321,20-Jun-2026,Ahmedabad Central Warehouse,Indore,High,Delivered
ORD0082,Croma Retail,FMCG,321,21-Jun-2026,Surat Distribution Center,Rajkot,Medium,Delivered
ORD0083,Aditya Birla Fashion,Eyewear,56,22-Jun-2026,Vadodara Fulfillment Hub,Bhopal,Medium,Delivered
ORD0084,Zydus Healthcare,Cosmetics,137,23-Jun-2026,Mumbai Regional Hub,Surat,High,Delivered
ORD0085,Asian Paints Ltd.,Electronics,460,24-Jun-2026,Pune Logistics Center,Pune,Medium,Delivered
ORD0086,Havells India Ltd.,Medicines,283,25-Jun-2026,Ahmedabad Central Warehouse,Rajkot,Medium,Delivered
ORD0087,Nestle India Ltd.,Grocery,362,26-Jun-2026,Surat Distribution Center,Nagpur,High,Delivered
ORD0088,Dabur India Ltd.,Consumer Goods,296,27-Jun-2026,Vadodara Fulfillment Hub,Vadodara,Medium,Delivered
ORD0089,Lenskart,Home Appliances,262,28-Jun-2026,Mumbai Regional Hub,Rajkot,Medium,Dispatched
ORD0090,Nykaa Retail,Clothing,117,29-Jun-2026,Pune Logistics Center,Surat,High,Packed
ORD0091,Reliance Retail Ltd.,Paints,240,30-Jun-2026,Ahmedabad Central Warehouse,Pune,Medium,Dispatched
ORD0092,Tata Electronics Pvt. Ltd.,Electrical Goods,259,01-Jul-2026,Surat Distribution Center,Bhopal,Medium,Packed
ORD0093,Apollo Pharmacy,Food Products,364,01-Apr-2026,Vadodara Fulfillment Hub,Udaipur,High,Delivered
ORD0094,DMart Distribution,FMCG,51,02-Apr-2026,Mumbai Regional Hub,Nashik,Medium,Delivered
ORD0095,Amazon Seller Services,Eyewear,429,03-Apr-2026,Pune Logistics Center,Surat,Medium,Delivered
ORD0096,Flipkart Seller Hub,Cosmetics,118,04-Apr-2026,Ahmedabad Central Warehouse,Rajkot,High,Delivered
ORD0097,Croma Retail,Electronics,249,05-Apr-2026,Surat Distribution Center,Vadodara,Medium,Delivered
ORD0098,Aditya Birla Fashion,Medicines,113,06-Apr-2026,Vadodara Fulfillment Hub,Mumbai,Medium,Delivered
ORD0099,Zydus Healthcare,Grocery,147,07-Apr-2026,Mumbai Regional Hub,Surat,High,Delivered
ORD0100,Asian Paints Ltd.,Consumer Goods,433,08-Apr-2026,Pune Logistics Center,Indore,Medium,Delivered
ORD0101,Havells India Ltd.,Home Appliances,45,09-Apr-2026,Ahmedabad Central Warehouse,Udaipur,Medium,Delivered
ORD0102,Nestle India Ltd.,Clothing,448,10-Apr-2026,Surat Distribution Center,Ahmedabad,High,Delivered
ORD0103,Dabur India Ltd.,Paints,494,11-Apr-2026,Vadodara Fulfillment Hub,Rajkot,Medium,Delivered
ORD0104,Lenskart,Electrical Goods,228,12-Apr-2026,Mumbai Regional Hub,Nagpur,Medium,Delivered
ORD0105,Nykaa Retail,Food Products,129,13-Apr-2026,Pune Logistics Center,Nashik,High,Delivered
ORD0106,Reliance Retail Ltd.,FMCG,104,14-Apr-2026,Ahmedabad Central Warehouse,Nashik,Medium,Delivered
ORD0107,Tata Electronics Pvt. Ltd.,Eyewear,219,15-Apr-2026,Surat Distribution Center,Mumbai,Medium,Delivered
ORD0108,Apollo Pharmacy,Cosmetics,166,16-Apr-2026,Vadodara Fulfillment Hub,Nashik,High,Delivered
ORD0109,DMart Distribution,Electronics,358,17-Apr-2026,Mumbai Regional Hub,Bhopal,Medium,Delivered
ORD0110,Amazon Seller Services,Medicines,99,18-Apr-2026,Pune Logistics Center,Rajkot,Medium,Delivered
ORD0111,Flipkart Seller Hub,Grocery,131,19-Apr-2026,Ahmedabad Central Warehouse,Ahmedabad,High,Delivered
ORD0112,Croma Retail,Consumer Goods,396,20-Apr-2026,Surat Distribution Center,Indore,Medium,Delivered
ORD0113,Aditya Birla Fashion,Home Appliances,402,21-Apr-2026,Vadodara Fulfillment Hub,Pune,Medium,Delivered
ORD0114,Zydus Healthcare,Clothing,45,22-Apr-2026,Mumbai Regional Hub,Jaipur,High,Delivered
ORD0115,Asian Paints Ltd.,Paints,277,23-Apr-2026,Pune Logistics Center,Indore,Medium,Delivered
ORD0116,Havells India Ltd.,Electrical Goods,49,24-Apr-2026,Ahmedabad Central Warehouse,Indore,Medium,Delivered
ORD0117,Nestle India Ltd.,Food Products,455,25-Apr-2026,Surat Distribution Center,Vadodara,High,Delivered
ORD0118,Dabur India Ltd.,FMCG,324,26-Apr-2026,Vadodara Fulfillment Hub,Surat,Medium,Delivered
ORD0119,Lenskart,Eyewear,226,27-Apr-2026,Mumbai Regional Hub,Surat,Medium,Delivered
ORD0120,Nykaa Retail,Cosmetics,146,28-Apr-2026,Pune Logistics Center,Jaipur,High,Delivered
ORD0121,Reliance Retail Ltd.,Electronics,40,29-Apr-2026,Ahmedabad Central Warehouse,Jaipur,Medium,Delivered
ORD0122,Tata Electronics Pvt. Ltd.,Medicines,234,30-Apr-2026,Surat Distribution Center,Udaipur,Medium,Delivered
ORD0123,Apollo Pharmacy,Grocery,309,01-May-2026,Vadodara Fulfillment Hub,Indore,High,Delivered
ORD0124,DMart Distribution,Consumer Goods,498,02-May-2026,Mumbai Regional Hub,Mumbai,Medium,Delivered
ORD0125,Amazon Seller Services,Home Appliances,362,03-May-2026,Pune Logistics Center,Bhopal,Medium,Delivered
ORD0126,Flipkart Seller Hub,Clothing,142,04-May-2026,Ahmedabad Central Warehouse,Mumbai,High,Delivered
ORD0127,Croma Retail,Paints,87,05-May-2026,Surat Distribution Center,Udaipur,Medium,Delivered
ORD0128,Aditya Birla Fashion,Electrical Goods,254,06-May-2026,Vadodara Fulfillment Hub,Pune,Medium,Delivered
ORD0129,Zydus Healthcare,Food Products,24,07-May-2026,Mumbai Regional Hub,Nagpur,High,Delivered
ORD0130,Asian Paints Ltd.,FMCG,308,08-May-2026,Pune Logistics Center,Surat,Medium,Delivered
ORD0131,Havells India Ltd.,Eyewear,295,09-May-2026,Ahmedabad Central Warehouse,Rajkot,Medium,Delivered
ORD0132,Nestle India Ltd.,Cosmetics,155,10-May-2026,Surat Distribution Center,Vadodara,High,Delivered
ORD0133,Dabur India Ltd.,Electronics,471,11-May-2026,Vadodara Fulfillment Hub,Surat,Medium,Delivered
ORD0134,Lenskart,Medicines,209,12-May-2026,Mumbai Regional Hub,Mumbai,Medium,Delivered
ORD0135,Nykaa Retail,Grocery,244,13-May-2026,Pune Logistics Center,Indore,High,Delivered
ORD0136,Reliance Retail Ltd.,Consumer Goods,333,14-May-2026,Ahmedabad Central Warehouse,Udaipur,Medium,Delivered
ORD0137,Tata Electronics Pvt. Ltd.,Home Appliances,24,15-May-2026,Surat Distribution Center,Udaipur,Medium,Delivered
ORD0138,Apollo Pharmacy,Clothing,173,16-May-2026,Vadodara Fulfillment Hub,Udaipur,High,Delivered
ORD0139,DMart Distribution,Paints,500,17-May-2026,Mumbai Regional Hub,Vadodara,Medium,Delivered
ORD0140,Amazon Seller Services,Electrical Goods,79,18-May-2026,Pune Logistics Center,Surat,Medium,Delivered
ORD0141,Flipkart Seller Hub,Food Products,99,19-May-2026,Ahmedabad Central Warehouse,Mumbai,High,Delivered
ORD0142,Croma Retail,FMCG,329,20-May-2026,Surat Distribution Center,Rajkot,Medium,Delivered
ORD0143,Aditya Birla Fashion,Eyewear,124,21-May-2026,Vadodara Fulfillment Hub,Udaipur,Medium,Delivered
ORD0144,Zydus Healthcare,Cosmetics,278,22-May-2026,Mumbai Regional Hub,Nagpur,High,Delivered
ORD0145,Asian Paints Ltd.,Electronics,483,23-May-2026,Pune Logistics Center,Ahmedabad,Medium,Delivered
ORD0146,Havells India Ltd.,Medicines,344,24-May-2026,Ahmedabad Central Warehouse,Nashik,Medium,Delivered
ORD0147,Nestle India Ltd.,Grocery,42,25-May-2026,Surat Distribution Center,Ahmedabad,High,Delivered
ORD0148,Dabur India Ltd.,Consumer Goods,414,26-May-2026,Vadodara Fulfillment Hub,Vadodara,Medium,Delivered
ORD0149,Lenskart,Home Appliances,102,27-May-2026,Mumbai Regional Hub,Bhopal,Medium,Delivered
ORD0150,Nykaa Retail,Clothing,302,28-May-2026,Pune Logistics Center,Bhopal,High,Delivered
ORD0151,Reliance Retail Ltd.,Paints,307,29-May-2026,Ahmedabad Central Warehouse,Ahmedabad,Medium,Delivered
ORD0152,Tata Electronics Pvt. Ltd.,Electrical Goods,58,30-May-2026,Surat Distribution Center,Bhopal,Medium,Delivered
ORD0153,Apollo Pharmacy,Food Products,299,31-May-2026,Vadodara Fulfillment Hub,Ahmedabad,High,Delivered
ORD0154,DMart Distribution,FMCG,318,01-Jun-2026,Mumbai Regional Hub,Indore,Medium,Delivered
ORD0155,Amazon Seller Services,Eyewear,240,02-Jun-2026,Pune Logistics Center,Vadodara,Medium,Delivered
ORD0156,Flipkart Seller Hub,Cosmetics,177,03-Jun-2026,Ahmedabad Central Warehouse,Pune,High,Delivered
ORD0157,Croma Retail,Electronics,480,04-Jun-2026,Surat Distribution Center,Pune,Medium,Delivered
ORD0158,Aditya Birla Fashion,Medicines,369,05-Jun-2026,Vadodara Fulfillment Hub,Rajkot,Medium,Delivered
ORD0159,Zydus Healthcare,Grocery,201,06-Jun-2026,Mumbai Regional Hub,Indore,High,Delivered
ORD0160,Asian Paints Ltd.,Consumer Goods,337,07-Jun-2026,Pune Logistics Center,Bhopal,Medium,Delivered
ORD0161,Havells India Ltd.,Home Appliances,493,08-Jun-2026,Ahmedabad Central Warehouse,Rajkot,Medium,Delivered
ORD0162,Nestle India Ltd.,Clothing,429,09-Jun-2026,Surat Distribution Center,Vadodara,High,Delivered
ORD0163,Dabur India Ltd.,Paints,32,10-Jun-2026,Vadodara Fulfillment Hub,Vadodara,Medium,Delivered
ORD0164,Lenskart,Electrical Goods,420,11-Jun-2026,Mumbai Regional Hub,Nashik,Medium,Delivered
ORD0165,Nykaa Retail,Food Products,156,12-Jun-2026,Pune Logistics Center,Vadodara,High,Delivered
ORD0166,Reliance Retail Ltd.,FMCG,215,13-Jun-2026,Ahmedabad Central Warehouse,Ahmedabad,Medium,Delivered
ORD0167,Tata Electronics Pvt. Ltd.,Eyewear,133,14-Jun-2026,Surat Distribution Center,Rajkot,Medium,Delivered
ORD0168,Apollo Pharmacy,Cosmetics,199,15-Jun-2026,Vadodara Fulfillment Hub,Mumbai,High,Delivered
ORD0169,DMart Distribution,Electronics,134,16-Jun-2026,Mumbai Regional Hub,Ahmedabad,Medium,Delivered
ORD0170,Amazon Seller Services,Medicines,224,17-Jun-2026,Pune Logistics Center,Pune,Medium,Delivered
ORD0171,Flipkart Seller Hub,Grocery,462,18-Jun-2026,Ahmedabad Central Warehouse,Surat,High,Delivered
ORD0172,Croma Retail,Consumer Goods,199,19-Jun-2026,Surat Distribution Center,Udaipur,Medium,Delivered
ORD0173,Aditya Birla Fashion,Home Appliances,224,20-Jun-2026,Vadodara Fulfillment Hub,Udaipur,Medium,Delivered
ORD0174,Zydus Healthcare,Clothing,189,21-Jun-2026,Mumbai Regional Hub,Ahmedabad,High,Delivered
ORD0175,Asian Paints Ltd.,Paints,469,22-Jun-2026,Pune Logistics Center,Mumbai,Medium,Delivered
ORD0176,Havells India Ltd.,Electrical Goods,317,23-Jun-2026,Ahmedabad Central Warehouse,Mumbai,Medium,Delivered
ORD0177,Nestle India Ltd.,Food Products,75,24-Jun-2026,Surat Distribution Center,Jaipur,High,Delivered
ORD0178,Dabur India Ltd.,FMCG,196,25-Jun-2026,Vadodara Fulfillment Hub,Bhopal,Medium,Delivered
ORD0179,Lenskart,Eyewear,243,26-Jun-2026,Mumbai Regional Hub,Jaipur,Medium,Delivered
ORD0180,Nykaa Retail,Cosmetics,79,27-Jun-2026,Pune Logistics Center,Nashik,High,Delivered
ORD0181,Reliance Retail Ltd.,Electronics,150,28-Jun-2026,Ahmedabad Central Warehouse,Ahmedabad,Medium,Processing
ORD0182,Tata Electronics Pvt. Ltd.,Medicines,286,29-Jun-2026,Surat Distribution Center,Indore,Medium,Processing
ORD0183,Apollo Pharmacy,Grocery,240,30-Jun-2026,Vadodara Fulfillment Hub,Surat,High,Packed
ORD0184,DMart Distribution,Consumer Goods,180,01-Jul-2026,Mumbai Regional Hub,Udaipur,Medium,Dispatched
ORD0185,Amazon Seller Services,Home Appliances,388,01-Apr-2026,Pune Logistics Center,Mumbai,Medium,Delivered
ORD0186,Flipkart Seller Hub,Clothing,178,02-Apr-2026,Ahmedabad Central Warehouse,Udaipur,High,Delivered
ORD0187,Croma Retail,Paints,187,03-Apr-2026,Surat Distribution Center,Nashik,Medium,Delivered
ORD0188,Aditya Birla Fashion,Electrical Goods,303,04-Apr-2026,Vadodara Fulfillment Hub,Vadodara,Medium,Delivered
ORD0189,Zydus Healthcare,Food Products,235,05-Apr-2026,Mumbai Regional Hub,Udaipur,High,Delivered
ORD0190,Asian Paints Ltd.,FMCG,366,06-Apr-2026,Pune Logistics Center,Bhopal,Medium,Delivered
ORD0191,Havells India Ltd.,Eyewear,335,07-Apr-2026,Ahmedabad Central Warehouse,Jaipur,Medium,Delivered
ORD0192,Nestle India Ltd.,Cosmetics,227,08-Apr-2026,Surat Distribution Center,Indore,High,Delivered
ORD0193,Dabur India Ltd.,Electronics,175,09-Apr-2026,Vadodara Fulfillment Hub,Mumbai,Medium,Delivered
ORD0194,Lenskart,Medicines,240,10-Apr-2026,Mumbai Regional Hub,Jaipur,Medium,Delivered
ORD0195,Nykaa Retail,Grocery,355,11-Apr-2026,Pune Logistics Center,Pune,High,Delivered
ORD0196,Reliance Retail Ltd.,Consumer Goods,246,12-Apr-2026,Ahmedabad Central Warehouse,Nagpur,Medium,Delivered
ORD0197,Tata Electronics Pvt. Ltd.,Home Appliances,281,13-Apr-2026,Surat Distribution Center,Nagpur,Medium,Delivered
ORD0198,Apollo Pharmacy,Clothing,357,14-Apr-2026,Vadodara Fulfillment Hub,Surat,High,Delivered
ORD0199,DMart Distribution,Paints,283,15-Apr-2026,Mumbai Regional Hub,Udaipur,Medium,Delivered
ORD0200,Amazon Seller Services,Electrical Goods,191,16-Apr-2026,Pune Logistics Center,Surat,Medium,Delivered
ORD0201,Flipkart Seller Hub,Food Products,364,17-Apr-2026,Ahmedabad Central Warehouse,Mumbai,High,Delivered
ORD0202,Croma Retail,FMCG,432,18-Apr-2026,Surat Distribution Center,Rajkot,Medium,Delivered
ORD0203,Aditya Birla Fashion,Eyewear,32,19-Apr-2026,Vadodara Fulfillment Hub,Ahmedabad,Medium,Delivered
ORD0204,Zydus Healthcare,Cosmetics,263,20-Apr-2026,Mumbai Regional Hub,Jaipur,High,Delivered
ORD0205,Asian Paints Ltd.,Electronics,253,21-Apr-2026,Pune Logistics Center,Nashik,Medium,Delivered
ORD0206,Havells India Ltd.,Medicines,119,22-Apr-2026,Ahmedabad Central Warehouse,Bhopal,Medium,Delivered
ORD0207,Nestle India Ltd.,Grocery,273,23-Apr-2026,Surat Distribution Center,Nashik,High,Delivered
ORD0208,Dabur India Ltd.,Consumer Goods,95,24-Apr-2026,Vadodara Fulfillment Hub,Udaipur,Medium,Delivered
ORD0209,Lenskart,Home Appliances,477,25-Apr-2026,Mumbai Regional Hub,Surat,Medium,Delivered
ORD0210,Nykaa Retail,Clothing,132,26-Apr-2026,Pune Logistics Center,Vadodara,High,Delivered
ORD0211,Reliance Retail Ltd.,Paints,257,27-Apr-2026,Ahmedabad Central Warehouse,Ahmedabad,Medium,Delivered
ORD0212,Tata Electronics Pvt. Ltd.,Electrical Goods,147,28-Apr-2026,Surat Distribution Center,Surat,Medium,Delivered
ORD0213,Apollo Pharmacy,Food Products,88,29-Apr-2026,Vadodara Fulfillment Hub,Nagpur,High,Delivered
ORD0214,DMart Distribution,FMCG,306,30-Apr-2026,Mumbai Regional Hub,Jaipur,Medium,Delivered
ORD0215,Amazon Seller Services,Eyewear,406,01-May-2026,Pune Logistics Center,Nagpur,Medium,Delivered
ORD0216,Flipkart Seller Hub,Cosmetics,437,02-May-2026,Ahmedabad Central Warehouse,Bhopal,High,Delivered
ORD0217,Croma Retail,Electronics,238,03-May-2026,Surat Distribution Center,Indore,Medium,Delivered
ORD0218,Aditya Birla Fashion,Medicines,479,04-May-2026,Vadodara Fulfillment Hub,Vadodara,Medium,Delivered
ORD0219,Zydus Healthcare,Grocery,250,05-May-2026,Mumbai Regional Hub,Mumbai,High,Delivered
ORD0220,Asian Paints Ltd.,Consumer Goods,450,06-May-2026,Pune Logistics Center,Udaipur,Medium,Delivered
ORD0221,Havells India Ltd.,Home Appliances,412,07-May-2026,Ahmedabad Central Warehouse,Indore,Medium,Delivered
ORD0222,Nestle India Ltd.,Clothing,340,08-May-2026,Surat Distribution Center,Rajkot,High,Delivered
ORD0223,Dabur India Ltd.,Paints,245,09-May-2026,Vadodara Fulfillment Hub,Surat,Medium,Delivered
ORD0224,Lenskart,Electrical Goods,140,10-May-2026,Mumbai Regional Hub,Mumbai,Medium,Delivered
ORD0225,Nykaa Retail,Food Products,183,11-May-2026,Pune Logistics Center,Indore,High,Delivered
ORD0226,Reliance Retail Ltd.,FMCG,90,12-May-2026,Ahmedabad Central Warehouse,Vadodara,Medium,Delivered
ORD0227,Tata Electronics Pvt. Ltd.,Eyewear,216,13-May-2026,Surat Distribution Center,Bhopal,Medium,Delivered
ORD0228,Apollo Pharmacy,Cosmetics,381,14-May-2026,Vadodara Fulfillment Hub,Rajkot,High,Delivered
ORD0229,DMart Distribution,Electronics,232,15-May-2026,Mumbai Regional Hub,Nashik,Medium,Delivered
ORD0230,Amazon Seller Services,Medicines,297,16-May-2026,Pune Logistics Center,Nagpur,Medium,Delivered
ORD0231,Flipkart Seller Hub,Grocery,51,17-May-2026,Ahmedabad Central Warehouse,Rajkot,High,Delivered
ORD0232,Croma Retail,Consumer Goods,219,18-May-2026,Surat Distribution Center,Jaipur,Medium,Delivered
ORD0233,Aditya Birla Fashion,Home Appliances,458,19-May-2026,Vadodara Fulfillment Hub,Jaipur,Medium,Delivered
ORD0234,Zydus Healthcare,Clothing,264,20-May-2026,Mumbai Regional Hub,Ahmedabad,High,Delivered
